"IDEPB - 2018
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA";;;;;;;;;;
Etapa de Escolaridade;Rede de Ensino;GRE;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
5º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;SANTA LUZIA;25039040;EEEF MONSENHOR PEDRO ANISIO;6,14;6,15;6,14;0,99;6,09
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;MALTA;25014692;EEEFM DR ANTONIO F MEDEIROS;4,51;5,19;4,85;0,71;3,43
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;PATOS;25020650;EEEF CAIC DR ROMERO ABDON Q DA NOBREGA;3,88;3,71;3,80;0,68;2,57
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;PATOS;25020900;EEEFM ANTONIA ARAUJO;4,66;4,81;4,74;0,95;4,50
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;PATOS;25020960;EEEF CORIOLANO DE MEDEIROS;4,99;4,93;4,96;0,92;4,55
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;PATOS;25020978;EEEF PROFA MARIA NUNES;4,22;4,32;4,27;0,81;3,44
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;PATOS;25020986;EEEF RIO BRANCO;5,12;5,01;5,07;0,91;4,60
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;PATOS;25021427;ENE D EXPEDITO E DE OLIVEIRA;4,96;4,44;4,70;0,77;3,61
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;SANTA TERESINHA;25022296;EEEFM PROFESSOR JOAO NOBERTO;4,54;4,59;4,56;0,95;4,32
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;SAO JOSE DE ESPINHARAS;25022652;EEEFM JOSE AMERICO DE ALMEIDA;4,47;5,12;4,80;0,80;3,82
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;EMAS;25025368;EEEFM PROFª MARGARIDA REMIGIO LOUREIRO;4,05;4,30;4,17;0,94;3,94
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;DESTERRO;25033786;EEEFM GERTRUDES LEITE;4,79;4,82;4,80;0,74;3,57
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;CACIMBAS;25033794;EEEFM PEDRO TERTO DA CUNHA;3,47;3,85;3,66;0,62;2,26
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;DESTERRO;25033816;EEEF SILVEIRA DANTAS;4,77;4,85;4,81;0,88;4,22
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;TEIXEIRA;25037846;EEEF DR MANOEL DANTAS;4,19;4,67;4,43;0,83;3,68
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;JUNCO DO SERIDO;25038478;EEEFM EZEQUIEL FERNANDES;4,29;4,04;4,17;0,71;2,94
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;SANTA LUZIA;25039075;EEEFM ARLINDO BENTO DE MORAIS;5,33;5,64;5,48;0,90;4,92
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;SANTA LUZIA;25039083;EEEIEF COELHO LISBOA;4,21;4,45;4,33;0,82;3,56
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;SAO JOSE DO SABUGI;25039504;EEEFM OLAVO BILAC;2,84;3,84;3,34;1,00;3,34
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;SAO MAMEDE;25039997;EEEFM NAPOLEAO ABDON DA NOBREGA;6,45;8,86;7,65;0,72;5,49
9º ano do Ensino Fundamental;ESTADUAL;6ª GRE-PATOS;PATOS;25103563;EEEFM PROFESSOR JOSE GOMES ALVES;4,66;4,40;4,53;0,72;3,24
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;MALTA;25014692;EEEFM DR ANTONIO F MEDEIROS;4,65;4,99;4,82;0,67;3,25
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;CACIMBA DE AREIA;25019813;EEEFM ALDO SATIRO XAVIER;3,27;3,73;3,50;0,99;3,47
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;MAE D AGUA;25020102;EEEFM FRANCISCO ROMANO DA SILVEIRA;5,30;5,22;5,26;0,88;4,61
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PASSAGEM;25020366;EEEM CONEGO MACHADO;4,23;4,33;4,28;0,94;4,03
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;AREIA DE BARAUNAS;25020374;EEEFM CLOVIS SATIRO;4,09;3,75;3,92;0,97;3,79
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PATOS;25020650;EEEF CAIC DR ROMERO ABDON Q DA NOBREGA;3,46;3,66;3,56;0,78;2,77
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PATOS;25020854;EEEFM DR DIONISIO DA COSTA;4,75;4,43;4,59;0,73;3,37
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PATOS;25020889;EEEFM LUCIA WANDERLEY DE FREITAS;4,55;4,02;4,28;0,97;4,14
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PATOS;25020900;EEEFM ANTONIA ARAUJO;4,51;4,08;4,29;0,80;3,42
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PATOS;25020927;EEEFM AUZANIR LACERDA;4,90;4,78;4,84;0,75;3,63
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PATOS;25020935;EEEFM MONSENHOR MANUEL VIEIRA;5,07;4,86;4,96;0,94;4,69
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PATOS;25020960;EEEF CORIOLANO DE MEDEIROS;4,59;4,05;4,32;0,78;3,37
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PATOS;25020986;EEEF RIO BRANCO;3,49;3,59;3,54;0,87;3,06
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;QUIXABA;25022059;EEEFM HERCULANO PEREIRA;3,43;3,61;3,52;0,85;3,00
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;SANTA TERESINHA;25022296;EEEFM PROFESSOR JOAO NOBERTO;3,86;4,02;3,94;0,89;3,51
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;SAO JOSE DE ESPINHARAS;25022652;EEEFM JOSE AMERICO DE ALMEIDA;4,29;4,18;4,23;0,78;3,31
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;SAO JOSE DO BONFIM;25023187;EEEFM MARIA DE LOURDES MEIRA;3,59;3,70;3,64;0,91;3,33
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;CATINGUEIRA;25024175;EEEFM INACIO DA CATINGUEIRA;5,00;5,00;5,00;0,96;4,82
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;EMAS;25025368;EEEFM PROFª MARGARIDA REMIGIO LOUREIRO;4,31;3,82;4,06;0,96;3,88
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;DESTERRO;25033786;EEEFM GERTRUDES LEITE;4,46;4,11;4,29;0,78;3,33
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;CACIMBAS;25033794;EEEFM PEDRO TERTO DA CUNHA;4,10;3,85;3,98;0,91;3,61
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;MATUREIA;25037781;EEEFM ANTONIO MOACIR DANTAS CAVALCANTI;4,54;4,37;4,45;0,85;3,80
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;TEIXEIRA;25037803;EEEFM SEBASTIAO GUEDES DA SILVA;4,17;3,97;4,07;0,80;3,25
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;JUNCO DO SERIDO;25038478;EEEFM EZEQUIEL FERNANDES;4,41;4,01;4,21;0,90;3,78
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;SALGADINHO;25038796;EEEM FENELON NOBREGA;4,20;3,88;4,04;0,92;3,73
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;SANTA LUZIA;25039032;EEEFM PE JERONIMO LAUWEN;4,20;4,03;4,12;0,78;3,19
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;SAO JOSE DO SABUGI;25039504;EEEFM OLAVO BILAC;3,93;4,40;4,17;0,83;3,47
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;SAO MAMEDE;25040014;EEEIEF SERAFICO NOBREGA;5,05;4,79;4,92;0,98;4,82
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;VARZEA;25040600;EEEM PROFº ODILON DE FIGUEIREDO;4,85;4,86;4,85;0,81;3,94
3ª série do Ensino Médio;ESTADUAL;6ª GRE-PATOS;PATOS;25103563;EEEFM PROFESSOR JOSE GOMES ALVES;4,72;4,73;4,73;0,77;3,62
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;COREMAS;25024523;EEEF MINISTRO CARLOS LUIZ DE ARAUJO;3,97;4,07;4,02;0,87;3,50
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;NOVA OLINDA;25025627;EEEF MARIA DIONISIA DE SOUSA;6,20;6,66;6,43;0,96;6,19
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;NOVA OLINDA;25025635;EEEFM JOAO LEITE NETO;6,07;6,72;6,39;0,98;6,25
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;OLHO D AGUA;25025813;EEEF CONEGO MANOEL OTAVIANO;7,38;7,29;7,34;0,97;7,09
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;PIANCO;25026488;EEEF MARIA ELIZA MONTENEGRO DE SOUZA;3,50;3,69;3,60;0,72;2,58
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;SANTANA DOS GARROTES;25027190;EEEF DR FELIZARDO LEITE;4,38;4,65;4,52;0,95;4,30
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;CONCEICAO;25027980;EEEF BAIRRO SAO JOSE;4,22;3,66;3,94;0,79;3,11
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;CONCEICAO;25027999;EEEF CALULA LEITE;5,45;5,34;5,39;0,99;5,34
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;CONCEICAO;25028022;EEEF JOSE LEITE;5,60;6,59;6,09;1,00;6,09
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;DIAMANTE;25030108;EEEF DR ERNESTO DE SOUSA DINIZ;8,00;7,90;7,95;0,82;6,54
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;IBIARA;25030167;EEEF DE IBIARINHA;4,84;5,13;4,98;0,82;4,09
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;ITAPORANGA;25030620;EEEF CHAGAS SOARES;4,36;4,53;4,45;0,70;3,11
5º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;ITAPORANGA;25030647;EEEF DR MANOEL DINIZ;4,36;4,76;4,56;0,86;3,93
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;AGUIAR;25023489;EEEM AGENOR MENDES PEDROSA;5,24;4,81;5,03;0,75;3,75
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;IGARACY;25023896;EEEFM JOSELITA BRASILEIRO;4,75;4,79;4,77;0,81;3,88
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;COREMAS;25024523;EEEF MINISTRO CARLOS LUIZ DE ARAUJO;5,11;4,73;4,92;0,80;3,95
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;NOVA OLINDA;25025635;EEEFM JOAO LEITE NETO;4,85;5,26;5,05;0,88;4,47
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;OLHO D AGUA;25025830;EEEIFM ANTONIO AVELINO DE ALMEIDA;5,00;5,32;5,16;0,87;4,47
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;PIANCO;25026402;EEEIEF ADEMAR LEITE;5,05;4,31;4,68;0,59;2,75
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;SANTANA DOS GARROTES;25027190;EEEF DR FELIZARDO LEITE;3,28;3,55;3,41;0,89;3,02
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;BOA VENTURA;25027573;EEEF JOAO CAVALCANTI SULA;3,95;4,78;4,37;0,85;3,71
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;CONCEICAO;25027999;EEEF CALULA LEITE;4,27;4,04;4,15;0,72;3,00
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;CONCEICAO;25028022;EEEF JOSE LEITE;4,89;4,95;4,92;0,61;2,99
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;CONCEICAO;25028065;EEEF NOSSA SENHORA DE FATIMA;3,79;4,05;3,92;0,63;2,49
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;SANTA INES;25028103;EEEFM ENEAS LEITE;4,34;4,11;4,23;0,99;4,17
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;CURRAL VELHO;25029576;EEEFMCORONEL ZUZA LACERDA;4,71;4,22;4,47;0,71;3,19
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;DIAMANTE;25029797;EEEF JOANA ABILIO PEGADO;4,80;5,54;5,17;0,93;4,81
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;DIAMANTE;25030108;EEEF DR ERNESTO DE SOUSA DINIZ;5,37;6,16;5,76;0,63;3,63
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;IBIARA;25030175;EEEF FRANCA LEITE;3,93;4,14;4,03;0,73;2,93
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;ITAPORANGA;25030620;EEEF CHAGAS SOARES;4,73;4,32;4,53;0,79;3,58
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;ITAPORANGA;25030655;EEEF PE DINIZ;4,63;4,33;4,48;0,91;4,08
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;ITAPORANGA;25030698;EEEF SIMEAO LEAL;4,20;4,09;4,15;0,87;3,62
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;ITAPORANGA;25031155;ENE PROF FRANCELINO A NEVES;5,34;5,51;5,42;-;-
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;PEDRA BRANCA;25031511;EEEF RAIMUNDO EPAMINONDAS DE SOUSA;4,67;4,62;4,65;0,88;4,10
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;SANTANA DE MANGUEIRA;25031783;EEEFM PRESIDENTE KENNEDY;4,09;4,33;4,21;0,61;2,55
9º ano do Ensino Fundamental;ESTADUAL;7ª GRE-ITAPORANGA;SAO JOSE DE CAIANA;25032518;EEEFM OTAVIANO L DA SILVA;4,02;4,29;4,15;0,85;3,55
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;AGUIAR;25023489;EEEM AGENOR MENDES PEDROSA;4,61;4,12;4,36;0,87;3,82
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;IGARACY;25023896;EEEFM JOSELITA BRASILEIRO;4,72;4,93;4,82;0,92;4,41
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;COREMAS;25024558;EEEFM ADVOGADO NOBEL VITA;4,87;5,74;5,31;0,78;4,15
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;NOVA OLINDA;25025635;EEEFM JOAO LEITE NETO;4,43;4,37;4,40;0,89;3,93
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;OLHO D AGUA;25025830;EEEIFM ANTONIO AVELINO DE ALMEIDA;4,01;4,01;4,01;0,89;3,56
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;PIANCO;25027026;ENE SANTO ANTONIO;3,93;3,73;3,83;0,67;2,55
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;SANTANA DOS GARROTES;25027174;EEEM DR FELIZARDO TEOTONIO DANTAS;3,40;3,63;3,51;0,67;2,36
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;BOA VENTURA;25027573;EEEF JOAO CAVALCANTI SULA;4,26;4,16;4,21;0,89;3,76
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;CONCEICAO;25027930;EEEFM MAESTRO JOSE SIQUEIRA;3,99;3,70;3,85;0,72;2,77
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;SANTA INES;25028103;EEEFM ENEAS LEITE;3,87;4,09;3,98;0,93;3,69
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;CURRAL VELHO;25029576;EEEFMCORONEL ZUZA LACERDA;4,92;4,86;4,89;0,73;3,59
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;DIAMANTE;25029789;EEEFM PROFESSORA ADILINA DE SOUZA DINIZ;4,53;4,99;4,76;0,85;4,06
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;IBIARA;25030116;EEEFMI PADRE MANOEL OTAVIANO;4,41;4,10;4,26;0,78;3,33
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;ITAPORANGA;25030566;EEEM ADALGISA TEODULO DA FONSECA;4,10;3,89;4,00;0,78;3,12
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;ITAPORANGA;25031155;ENE PROF FRANCELINO A NEVES;4,37;3,94;4,16;0,79;3,30
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;PEDRA BRANCA;25031481;EEEFM JOAO DE S PRIMO;4,39;3,91;4,15;0,74;3,07
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;SANTANA DE MANGUEIRA;25031783;EEEFM PRESIDENTE KENNEDY;4,88;5,52;5,20;0,89;4,63
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;SAO JOSE DE CAIANA;25032518;EEEFM OTAVIANO L DA SILVA;3,85;4,03;3,94;0,90;3,53
3ª série do Ensino Médio;ESTADUAL;7ª GRE-ITAPORANGA;SERRA GRANDE;25032968;EEEFM PROF JOSEFA JUSTINO GOMES;4,33;4,35;4,34;0,91;3,96
5º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;CATOLE DO ROCHA;25001914;EEEF SERGINA LAURA DANTAS;5,57;5,75;5,66;0,90;5,10
5º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;SAO BENTO;25003887;EEEF MILTON LUCIO DA SILVA;5,76;5,68;5,72;0,83;4,72
9º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BELEM DO BREJO DO CRUZ;25000055;EEEF AMERICO MAIA;4,79;4,51;4,65;0,81;3,79
9º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BOM SUCESSO;25000373;EEEF DR JOSE PAZ DE LIMA;5,02;6,37;5,69;0,99;5,62
9º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BREJO DO CRUZ;25000659;EEEF ANTONIO GOMES;4,72;4,59;4,65;0,73;3,39
9º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BREJO DOS SANTOS;25001477;EEEFM PROFª DIVA GUEDES DE ARAUJO;4,80;4,42;4,61;0,77;3,57
9º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;CATOLE DO ROCHA;25001906;EEEIEF JOAO SUASSUNA;4,73;4,65;4,69;0,70;3,30
9º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;CATOLE DO ROCHA;25002376;EEEF FABIO MARIZ MAIA;5,39;6,02;5,71;0,78;4,47
9º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;JERICO;25002422;EEEFM FRANCISCO MAIA;4,92;5,06;4,99;0,68;3,38
9º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;RIACHO DOS CAVALOS;25003410;EEEFM DANIEL CARNEIRO;5,02;5,31;5,17;0,86;4,44
9º ano do Ensino Fundamental;ESTADUAL;8ª GRE-CATOLE DO ROCHA;SAO BENTO;25003852;EEEIF FAUSTO MEIRA;5,03;5,21;5,12;0,67;3,44
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BELEM DO BREJO DO CRUZ;25000047;EEEMF NOSSA SENHORA DA CONCEICAO;4,61;4,10;4,36;0,78;3,38
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BELEM DO BREJO DO CRUZ;25000055;EEEF AMERICO MAIA;3,36;3,23;3,29;-;-
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BOM SUCESSO;25000349;EEEFM PADRE ARISTIDES;4,77;5,03;4,90;0,82;4,02
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BREJO DO CRUZ;25000640;EEEFM PROF JOSE OLIMPIO MAIA;4,59;4,30;4,45;0,71;3,14
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BREJO DO CRUZ;25000659;EEEF ANTONIO GOMES;3,90;3,94;3,92;-;-
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;SAO JOSE DO BREJO DO CRUZ;25001302;EEEFM OLIVIA SARAIVA MAIA;4,99;4,39;4,69;0,81;3,80
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;BREJO DOS SANTOS;25001477;EEEFM PROFª DIVA GUEDES DE ARAUJO;4,62;4,52;4,57;0,79;3,61
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;CATOLE DO ROCHA;25001825;ESC AGROTECNICA DO CAJUEIRO CAMPUS IV - UEPB;4,98;4,98;4,98;0,91;4,52
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;CATOLE DO ROCHA;25001833;EEEFM OBDULIA DANTAS;4,91;4,76;4,83;0,77;3,73
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;CATOLE DO ROCHA;25001906;EEEIEF JOAO SUASSUNA;3,92;4,01;3,96;0,67;2,65
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;JERICO;25002422;EEEFM FRANCISCO MAIA;5,23;4,58;4,90;0,80;3,92
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;MATO GROSSO;25002457;EEEFM JOSE SERAFIM DE LIMA;5,08;4,68;4,88;0,78;3,81
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;RIACHO DOS CAVALOS;25003410;EEEFM DANIEL CARNEIRO;4,29;4,30;4,29;0,81;3,48
3ª série do Ensino Médio;ESTADUAL;8ª GRE-CATOLE DO ROCHA;SAO BENTO;25003844;EEEFM JOAO SILVEIRA GUIMARAES;4,71;4,49;4,60;0,81;3,72
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOAO DO RIO DO PEIXE;25004948;EEEIEF DISTRITO DE UMARI;5,72;6,65;6,19;1,00;6,19
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOAO DO RIO DO PEIXE;25004972;EEEF CONEGO MANOEL JACOME;5,63;6,01;5,82;0,96;5,59
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOAO DO RIO DO PEIXE;25005030;EEEF DE GRAVATA;5,68;7,21;6,44;0,89;5,73
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;CAJAZEIRAS;25007750;EEEF DESEMBARGADOR BOTO DE MENEZES;5,83;5,55;5,69;0,94;5,35
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;CAJAZEIRAS;25007777;EEEF CEL JOAQUIM MATOS;6,07;5,71;5,89;0,96;5,68
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;CAJAZEIRAS;25007807;EEEF JOAQUIM VICTOR JUREMA;5,46;5,41;5,44;0,87;4,76
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;CAJAZEIRAS;25007882;EEEF SINHAZINHA RAMALHO;4,66;4,38;4,52;0,90;4,06
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;CAJAZEIRAS;25008951;ESC PROFISSIONAL MONTE CARMELO;6,51;6,34;6,42;0,97;6,23
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;CARRAPATEIRA;25009214;EEEIF DE AVE MARIA;6,39;7,50;6,94;1,00;6,94
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SANTA HELENA;25009923;EEEF PROFESSOR JOSE BENTO;4,80;5,06;4,93;0,93;4,59
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOSE DE PIRANHAS;25010638;EEEF PROF LUIZ ALBERTO DE PAIVA;6,83;7,63;7,23;0,81;5,83
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOSE DE PIRANHAS;25010646;EEEF SAO SEBASTIAO;5,67;5,73;5,70;0,81;4,64
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;UIRAUNA;25012924;EEEFM JOVELINA GOMES;5,50;5,43;5,47;0,95;5,18
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;UIRAUNA;25012959;EEEF ERNANI SATIRO;4,56;4,72;4,64;0,89;4,13
5º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOAO DO RIO DO PEIXE;25102621;EEEF PROFª FRASSINETE BERNARDO;5,05;4,94;5,00;0,94;4,68
9º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOAO DO RIO DO PEIXE;25004875;ENE MIN JOSE AMERICO DE ALMEIDA;5,56;4,97;5,27;0,68;3,59
9º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOAO DO RIO DO PEIXE;25004948;EEEIEF DISTRITO DE UMARI;4,02;4,01;4,02;0,71;2,87
9º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOAO DO RIO DO PEIXE;25004999;EEEF DE BANDARRA;4,10;3,65;3,87;0,86;3,33
9º ano do Ensino Fundamental;ESTADUAL;9ª GRE-CAJAZEIRAS;SAO JOAO DO RIO DO PEIXE;25005030;EEEF DE GRAVATA;5,70;6,00;5,85;0,77;4,51
